date,tk,px,sl,tp,initial_sl,tp1_price,last_px,status,tag,entry_metric,curr_metric,sources,sector,mcap,feature_score,features,partial_tp_hit,close_date
2026-02-18,LAUR,35.1,35.1,39.18,33.74,37.14,32.79999923706055,✅ TRAIL EXIT,💥 BB 擠壓,,RS: 90,['S&P600_小型'],Consumer Defensive,5241362944,1,"{'mss': False, 'smc': False, 'amd': True, 'ml_rsi': 56.5}",True,2026-02-20
2026-02-18,MSGS,341.76,319.48,408.6,319.48,375.18,319.48,❌ STOP LOSS,⚡ 缺口動能,RS: 95,RS: 94,['S&P600_小型'],Communication Services,9422185472,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 80.2}",False,2026-02-23
2026-02-24,KEYS,301.48,283.9,354.21,283.9,327.85,283.9,❌ STOP LOSS,⚡ 缺口動能,RS: 96,RS: 96,['S&P500_大盤'],Technology,57424257024,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 90.1}",False,2026-03-05
2026-02-24,TMDX,137.78,129.09,163.85,129.09,150.81,129.09,❌ STOP LOSS,💥 BB 擠壓,,RS: 91,['S&P600_小型'],Healthcare,2643564032,1,"{'mss': True, 'smc': False, 'amd': False, 'ml_rsi': 60.4}",False,2026-02-26
2026-02-24,3110.T,5215.75,4579.85,7123.45,4579.85,6169.6,4579.85,❌ STOP LOSS,⚡ 缺口動能,RS: 99,RS: 99,"['TOPIX_Small500_小型', 'JP熱門']",Consumer Cyclical,531150700544,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 93.0}",False,2026-03-04
2026-02-24,6754.T,2853.23,2853.23,3399.34,2671.19,3126.29,2797.3347181227964,✅ TRAIL EXIT,⚡ 缺口動能,RS: 96,RS: 97,['TOPIX_Mid400_中型'],Technology,461282836480,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 82.3}",True,2026-03-04
2026-02-25,ECG,130.1,116.76,170.13,116.76,150.11,116.76,❌ STOP LOSS,⚡ 缺口動能,RS: 98,RS: 97,['S&P600_小型'],Industrials,7184106496,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 81.1}",False,2026-03-03
2026-02-25,JAZZ,196.83,187.67,224.31,187.67,210.57,187.67,❌ STOP LOSS,⚡ 缺口動能,RS: 91,RS: 88,['S&P400_中型'],Healthcare,16431207424,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 98.6}",False,2026-03-02
2026-02-25,LIVN,70.29,66.62,81.3,66.62,75.8,66.62,❌ STOP LOSS,🏆 VCP 突破,,RS: 89,['S&P400_中型'],Healthcare,4292781056,3,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 70.7}",False,2026-03-04
2026-02-25,MU,428.75,395.77,527.72,395.77,478.23,395.77,❌ STOP LOSS,💥 BB 擠壓,,RS: 99,"['S&P500_大盤', 'NDX100_科技']",Technology,0,0,"{'mss': False, 'smc': False, 'amd': False, 'ml_rsi': 65.9}",False,2026-03-03
2026-02-25,YOU,46.03,46.03,55.75,42.79,50.88,55.75,✅ MAX TP,⚡ 缺口動能,RS: 92,RS: 96,['S&P600_小型'],Technology,7546515968,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 85.4}",True,2026-03-24
2026-02-26,HL,24.53,22.13,31.73,22.13,28.13,22.13,❌ STOP LOSS,💥 BB 擠壓,,RS: 99,['S&P400_中型'],Basic Materials,11093583872,2,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 56.6}",False,2026-03-03
