mcap,sl,fx_entry,fx_exit,tk,days_held,sector,feature_score,px,tp1_price,entry_rs,curr_rs,status,curr_metric,date,tag,initial_sl,sources,period,close_date,features,tp,last_px,partial_tp_hit,entry_metric
5511090012160,6816.29,159.576,160.184,6954.T,3,Industrials,2,7256.0,8135.42,,,❌ STOP LOSS,RS: 87,2026-04-27,⚡ 缺口動能,6816.29,['NK225'],FWD,2026-04-30,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 80.8, 'rv_pct': 0.276, 'bd_pct': 0.655}",8575.14,6816.29,False,RS: 90
1120448544768,6405.71,159.357,159.552,1942.T,1,Industrials,3,6797.0,7579.58,,,❌ STOP LOSS,RS: 92,2026-04-28,⚡ 缺口動能,6405.71,['TOPIX_Mid400_中型'],FWD,2026-04-29,"{'mss': True, 'smc': True, 'amd': True, 'ml_rsi': 64.7, 'rv_pct': 0.468, 'bd_pct': 0.181}",7970.86,6405.71,False,RS: 92
236019728384,266.76,,,TXN,4,Technology,2,279.37,304.6,,,❌ STOP LOSS,RS: 91,2026-04-23,⚡ 缺口動能,266.76,"['S&P500_大盤', 'NDX100_科技']",FWD,2026-04-27,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 96.4, 'rv_pct': 0.714, 'bd_pct': 0.988}",317.2,266.76,False,RS: 91
108000731136,248.4,,,VRT,69,Industrials,2,248.4,295.98,,,✅ MAX TP,RS: 97,2026-02-11,⚡ 缺口動能,224.61,['S&P500_大盤'],FWD,2026-04-21,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 78.7, 'rv_pct': 0.597, 'bd_pct': 0.599}",319.75,319.75,True,RS: 97
650369040384,3706.64,159.112,158.809,6323.T,4,Technology,2,3969.0,4493.72,,,❌ STOP LOSS,RS: 94,2026-04-10,⚡ 缺口動能,3706.64,['TOPIX_Mid400_中型'],FWD,2026-04-16,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 81.6, 'rv_pct': 0.933, 'bd_pct': 0.595}",4756.07,3706.64,False,RS: 96
244336214016,7135.48,159.112,159.68,6814.T,1,Technology,2,7640.21,8649.66,,,❌ STOP LOSS,RS: 93,2026-04-10,⚡ 缺口動能,7135.48,['TOPIX_Small500_小型'],FWD,2026-04-13,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 68.5, 'rv_pct': 0.8, 'bd_pct': 0.24}",9154.39,7135.48,False,RS: 93
650369040384,3706.64,159.112,159.112,6323.T,1,Technology,2,3969.0,4493.72,,,❌ STOP LOSS,RS: 96,2026-04-10,⚡ 缺口動能,3706.64,['TOPIX_Mid400_中型'],FWD,2026-04-10,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 81.6, 'rv_pct': 0.933, 'bd_pct': 0.595}",4756.07,3706.64,False,RS: 96
244336214016,7135.48,159.112,159.112,6814.T,1,Technology,2,7640.21,8649.66,,,❌ STOP LOSS,RS: 93,2026-04-10,⚡ 缺口動能,7135.48,['TOPIX_Small500_小型'],FWD,2026-04-10,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 68.5, 'rv_pct': 0.8, 'bd_pct': 0.24}",9154.39,7135.48,False,RS: 93
650369040384,3706.64,159.112,159.112,6323.T,1,Technology,2,3969.0,4493.72,,,❌ STOP LOSS,RS: 96,2026-04-10,⚡ 缺口動能,3706.64,['TOPIX_Mid400_中型'],FWD,2026-04-10,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 81.6, 'rv_pct': 0.933, 'bd_pct': 0.595}",4756.07,3706.64,False,RS: 96
244336214016,7135.48,159.112,159.112,6814.T,1,Technology,2,7640.21,8649.66,,,❌ STOP LOSS,RS: 93,2026-04-10,⚡ 缺口動能,7135.48,['TOPIX_Small500_小型'],FWD,2026-04-10,"{'mss': True, 'smc': True, 'amd': False, 'ml_rsi': 68.5, 'rv_pct': 0.8, 'bd_pct': 0.24}",9154.39,7135.48,False,RS: 93
